frame,timestamp,person_detected,person_id,person_x1,person_y1,person_x2,person_y2,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,backpack_detected,backpack_from_memory,backpack_confidence,backpack_x1,backpack_y1,backpack_x2,backpack_y2,backpack_center_x,backpack_center_y,backpack_roi_overlap_pct,roi_value,wrist_inside_roi,backpack_inside_roi,state,event
1,0.033,False,,,,,,,,,,True,False,0.6040,234,611,439,852,336,731,100.0,0.0,False,True,PLACED,
2,0.067,False,,,,,,,,,,True,False,0.6093,232,611,437,851,334,731,100.0,0.0,False,True,PLACED,
3,0.100,False,,,,,,,,,,True,False,0.6142,232,611,437,851,334,731,100.0,0.0,False,True,PLACED,
4,0.133,False,,,,,,,,,,True,False,0.6216,233,611,437,851,335,731,100.0,0.0,False,True,PLACED,
5,0.167,False,,,,,,,,,,True,False,0.6286,232,611,437,851,334,731,100.0,0.0,False,True,PLACED,
6,0.200,False,,,,,,,,,,True,False,0.6035,233,612,437,851,335,731,100.0,0.0,False,True,PLACED,
7,0.233,False,,,,,,,,,,True,False,0.6193,233,612,437,851,335,731,100.0,0.0,False,True,PLACED,
8,0.267,False,,,,,,,,,,True,False,0.6086,233,612,438,851,335,731,100.0,0.0,False,True,PLACED,
9,0.300,False,,,,,,,,,,True,False,0.6417,233,612,438,851,335,731,100.0,0.0,False,True,PLACED,
10,0.333,False,,,,,,,,,,True,False,0.6449,233,612,437,852,335,732,100.0,0.0,False,True,PLACED,
11,0.367,False,,,,,,,,,,True,False,0.6411,232,612,437,852,334,732,100.0,0.0,False,True,PLACED,
12,0.400,False,,,,,,,,,,True,False,0.6339,232,612,437,852,334,732,100.0,0.0,False,True,PLACED,
13,0.433,False,,,,,,,,,,True,False,0.6437,231,612,438,852,334,732,100.0,0.0,False,True,PLACED,
14,0.467,False,,,,,,,,,,True,False,0.6366,231,612,438,852,334,732,100.0,0.0,False,True,PLACED,
15,0.500,False,,,,,,,,,,True,False,0.6341,231,612,438,852,334,732,100.0,0.0,False,True,PLACED,
16,0.533,False,,,,,,,,,,True,False,0.6265,231,612,438,852,334,732,100.0,0.0,False,True,PLACED,
17,0.567,False,,,,,,,,,,True,False,0.6268,231,612,438,852,334,732,100.0,0.0,False,True,PLACED,
18,0.600,False,,,,,,,,,,True,False,0.6079,232,612,438,852,335,732,100.0,0.0,False,True,PLACED,
19,0.633,False,,,,,,,,,,True,False,0.5822,234,612,438,854,336,733,100.0,0.0,False,True,PLACED,
20,0.667,False,,,,,,,,,,True,False,0.5883,234,612,438,854,336,733,100.0,0.0,False,True,PLACED,
21,0.700,False,,,,,,,,,,True,False,0.5725,232,612,439,852,335,732,100.0,0.0,False,True,PLACED,
22,0.733,False,,,,,,,,,,True,False,0.6341,232,612,438,852,335,732,100.0,0.0,False,True,PLACED,
23,0.767,False,,,,,,,,,,True,False,0.6526,233,612,438,852,335,732,100.0,0.0,False,True,PLACED,
24,0.800,False,,,,,,,,,,True,False,0.6459,234,612,438,852,336,732,100.0,0.0,False,True,PLACED,
25,0.833,False,,,,,,,,,,True,False,0.6297,235,612,439,852,337,732,100.0,0.0,False,True,PLACED,
26,0.867,False,,,,,,,,,,True,False,0.6129,235,612,439,852,337,732,100.0,0.0,False,True,PLACED,
27,0.900,False,,,,,,,,,,True,False,0.5921,235,612,439,852,337,732,100.0,0.0,False,True,PLACED,
28,0.933,False,,,,,,,,,,True,False,0.5851,236,612,440,852,338,732,100.0,0.0,False,True,PLACED,
29,0.967,False,,,,,,,,,,True,False,0.5911,236,612,440,853,338,732,100.0,0.0,False,True,PLACED,
30,1.000,False,,,,,,,,,,True,False,0.5725,236,612,441,853,338,732,100.0,0.0,False,True,PLACED,
31,1.033,False,,,,,,,,,,True,False,0.5558,237,612,440,853,338,732,100.0,0.0,False,True,PLACED,
32,1.067,False,,,,,,,,,,True,False,0.5461,237,612,440,853,338,732,100.0,0.0,False,True,PLACED,
33,1.100,False,,,,,,,,,,True,False,0.5476,236,612,440,854,338,733,100.0,0.0,False,True,PLACED,
34,1.133,False,,,,,,,,,,True,False,0.5582,236,612,440,854,338,733,100.0,0.0,False,True,PLACED,
35,1.167,False,,,,,,,,,,True,False,0.5504,236,612,440,854,338,733,100.0,0.0,False,True,PLACED,
36,1.200,False,,,,,,,,,,True,False,0.5438,237,612,440,854,338,733,100.0,0.0,False,True,PLACED,
37,1.233,False,,,,,,,,,,True,False,0.5712,237,613,440,853,338,733,100.0,0.0,False,True,PLACED,
38,1.267,False,,,,,,,,,,True,False,0.5768,237,612,441,854,339,733,100.0,0.0,False,True,PLACED,
39,1.300,False,,,,,,,,,,True,False,0.5762,237,612,441,854,339,733,100.0,0.0,False,True,PLACED,
40,1.333,False,,,,,,,,,,True,False,0.5847,237,613,441,854,339,733,100.0,0.0,False,True,PLACED,
41,1.367,False,,,,,,,,,,True,False,0.5940,237,613,441,854,339,733,100.0,0.0,False,True,PLACED,
42,1.400,False,,,,,,,,,,True,False,0.5987,237,613,442,854,339,733,100.0,0.0,False,True,PLACED,
43,1.433,False,,,,,,,,,,True,False,0.5848,237,613,442,854,339,733,100.0,0.0,False,True,PLACED,
44,1.467,False,,,,,,,,,,True,False,0.5863,237,613,442,854,339,733,100.0,0.0,False,True,PLACED,
45,1.500,False,,,,,,,,,,True,False,0.5906,237,613,442,854,339,733,100.0,0.0,False,True,PLACED,
46,1.533,False,,,,,,,,,,True,False,0.5944,237,613,442,854,339,733,100.0,0.0,False,True,PLACED,
47,1.567,False,,,,,,,,,,True,False,0.5883,237,613,443,854,340,733,100.0,0.0,False,True,PLACED,
48,1.600,False,,,,,,,,,,True,False,0.5872,237,613,443,854,340,733,100.0,0.0,False,True,PLACED,
49,1.633,False,,,,,,,,,,True,False,0.5959,237,613,443,855,340,734,100.0,0.0,False,True,PLACED,
50,1.667,False,,,,,,,,,,True,False,0.6023,237,613,443,855,340,734,100.0,0.0,False,True,PLACED,
51,1.700,False,,,,,,,,,,True,False,0.5945,237,613,443,855,340,734,100.0,0.0,False,True,PLACED,
52,1.733,False,,,,,,,,,,True,False,0.5865,238,613,443,855,340,734,100.0,0.0,False,True,PLACED,
53,1.767,False,,,,,,,,,,True,False,0.5962,238,614,444,855,341,734,100.0,0.0,False,True,PLACED,
54,1.800,False,,,,,,,,,,True,False,0.5625,238,614,444,855,341,734,100.0,0.0,False,True,PLACED,
55,1.833,False,,,,,,,,,,True,False,0.5405,235,613,443,857,339,735,100.0,0.0,False,True,PLACED,
56,1.867,False,,,,,,,,,,True,False,0.5561,235,613,443,857,339,735,100.0,0.0,False,True,PLACED,
57,1.900,False,,,,,,,,,,True,False,0.5718,235,614,443,857,339,735,100.0,0.0,False,True,PLACED,
58,1.933,False,,,,,,,,,,True,False,0.5934,236,614,443,858,339,736,100.0,0.0,False,True,PLACED,
59,1.967,False,,,,,,,,,,True,False,0.5662,236,615,443,858,339,736,100.0,0.0,False,True,PLACED,
60,2.000,False,,,,,,,,,,True,False,0.5506,236,615,443,859,339,737,100.0,0.0,False,True,PLACED,
61,2.033,False,,,,,,,,,,True,False,0.5309,236,616,444,859,340,737,100.0,0.0,False,True,PLACED,
62,2.067,True,,612,8,720,900,710,390,720,386,True,False,0.5115,236,616,444,860,340,738,100.0,0.0,False,True,PLACED,
63,2.100,True,1,612,3,720,901,720,449,715,423,True,False,0.5156,236,617,444,860,340,738,100.0,0.0,False,True,PLACED,
64,2.133,True,1,611,1,720,903,719,484,703,477,True,False,0.5241,235,617,444,861,339,739,100.0,0.0,False,True,PLACED,
65,2.167,True,1,607,3,716,904,696,483,695,470,True,False,0.5204,235,618,444,861,339,739,100.0,0.0,False,True,PLACED,
66,2.200,True,1,600,7,710,904,668,477,668,471,True,False,0.5518,235,619,445,861,340,740,100.0,0.0,False,True,PLACED,
67,2.233,True,1,592,16,702,903,645,475,654,461,True,False,0.5108,235,619,445,862,340,740,100.0,0.0,False,True,PLACED,
68,2.267,True,1,587,26,698,903,621,467,644,447,True,False,0.5090,236,619,445,862,340,740,100.0,0.0,False,True,PLACED,
69,2.300,True,1,579,33,693,902,602,460,629,441,True,False,0.5169,236,619,445,863,340,741,100.0,0.0,False,True,PLACED,
70,2.333,True,1,569,40,686,899,593,455,616,443,True,False,0.5496,236,620,444,864,340,742,100.0,0.0,False,True,PLACED,
71,2.367,True,1,556,43,679,901,585,453,614,455,True,False,0.5805,237,621,444,865,340,743,100.0,0.0,False,True,PLACED,
72,2.400,True,1,540,51,671,902,582,455,607,452,True,False,0.5659,237,622,444,866,340,744,100.0,0.0,False,True,PLACED,
73,2.433,True,1,523,61,663,904,581,456,601,449,True,False,0.5802,236,623,445,868,340,745,100.0,0.0,False,True,PLACED,
74,2.467,True,1,506,67,656,903,576,475,592,461,True,False,0.5873,235,626,445,869,340,747,100.0,0.0,False,True,PLACED,
75,2.500,True,1,497,74,656,903,585,462,576,479,True,False,0.5991,234,627,445,870,339,748,100.0,0.0,False,True,PLACED,
76,2.533,True,1,490,82,659,903,589,456,539,496,True,False,0.5793,235,628,444,871,339,749,100.0,0.0,False,True,PLACED,
77,2.567,True,1,481,92,659,905,598,463,519,502,True,False,0.5221,236,628,443,872,339,750,100.0,0.0,True,True,PLACED,
78,2.600,True,1,476,100,663,906,600,461,495,508,True,False,0.5132,236,628,443,873,339,750,100.0,0.0,True,True,PLACED,
79,2.633,True,1,464,108,661,906,605,458,479,510,True,False,0.5005,234,630,444,874,339,752,100.0,0.0,True,True,PLACED,
80,2.667,True,1,454,114,660,903,606,459,462,519,True,False,0.4775,236,630,443,874,339,752,100.0,0.0,True,True,PLACED,
81,2.700,True,1,443,121,658,899,604,465,453,529,True,False,0.4718,235,632,442,876,338,754,100.0,0.0,True,True,PLACED,
82,2.733,True,1,426,130,650,896,617,452,440,538,True,False,0.4544,236,632,442,876,339,754,100.0,0.0,True,True,PICKING,PLACED -> PICKING
83,2.767,True,1,410,137,642,897,620,436,427,546,True,False,0.4376,235,633,442,877,338,755,100.0,0.0,True,True,PICKING,
84,2.800,True,1,394,144,633,896,625,431,423,545,True,False,0.4613,236,632,443,878,339,755,100.0,0.0,True,True,PICKING,
85,2.833,True,1,381,152,626,895,631,427,412,555,True,False,0.4391,235,635,443,878,339,756,100.0,0.0,True,True,PICKING,
86,2.867,True,1,369,160,622,897,632,428,405,559,True,False,0.4782,235,637,443,878,339,757,100.0,0.0,True,True,PICKING,
87,2.900,True,1,359,168,619,900,635,428,399,568,True,False,0.5189,235,640,444,879,339,759,100.0,0.0,True,True,PICKING,
88,2.933,True,1,350,174,618,905,637,429,395,573,True,False,0.5767,235,651,444,880,339,765,100.0,0.0,True,True,PICKING,
89,2.967,True,1,342,180,617,908,636,427,390,583,True,False,0.5681,236,653,444,881,340,767,100.0,0.0,True,True,PICKING,
90,3.000,True,1,335,185,617,910,634,432,388,587,True,False,0.5938,235,653,443,882,339,767,100.0,0.0,True,True,PICKING,
91,3.033,True,1,328,192,615,912,628,432,380,598,True,False,0.4279,237,650,442,884,339,767,100.0,0.0,True,True,PICKING,
92,3.067,True,1,322,199,615,913,621,437,376,603,True,False,0.5044,235,655,442,885,338,770,100.0,0.0,True,True,PICKING,
93,3.100,True,1,318,206,616,914,614,441,374,608,True,False,0.5109,235,655,442,886,338,770,100.0,0.0,True,True,PICKING,
94,3.133,True,1,313,208,617,915,606,444,389,608,True,False,0.5522,236,655,441,887,338,771,100.0,0.0,True,True,PICKING,
95,3.167,True,1,309,212,618,915,603,448,386,610,True,False,0.5413,237,657,440,888,338,772,100.0,0.0,True,True,PICKING,
96,3.200,True,1,305,215,619,915,608,452,384,615,True,False,0.4145,237,658,440,888,338,773,100.0,0.0,True,True,PICKING,
97,3.233,True,1,302,216,621,916,604,450,383,614,True,False,0.4344,237,658,441,889,339,773,100.0,0.0,True,True,PICKING,
98,3.267,True,1,299,216,623,917,599,453,384,614,True,False,0.4515,236,654,442,889,339,771,100.0,0.0,True,True,PICKING,
99,3.300,True,1,296,215,625,918,597,454,386,612,True,False,0.4076,235,653,441,890,338,771,100.0,0.0,True,True,PICKING,
100,3.333,True,1,293,213,627,918,586,461,386,607,True,True,,483,461,689,698,586,579,11.6,88.4,True,False,PICKING,
101,3.367,True,1,291,208,630,919,576,461,385,603,True,True,,473,461,679,698,576,579,16.0,84.0,True,False,PICKING,
102,3.400,True,1,288,199,633,919,563,461,388,590,True,True,,460,461,666,698,563,579,21.8,78.2,True,False,PICKING,
103,3.433,True,1,287,193,636,920,560,463,389,585,True,True,,457,463,663,700,560,581,23.3,76.7,True,False,PICKING,
104,3.467,True,1,286,188,639,921,555,467,388,576,True,True,,452,467,658,704,555,585,26.0,74.0,True,False,PICKING,
105,3.500,True,1,286,181,641,922,545,469,389,573,True,False,0.3061,256,607,438,881,347,744,100.0,0.0,True,True,PICKING,
106,3.533,True,1,286,176,643,922,539,462,393,563,True,False,0.2685,261,595,439,873,350,734,100.0,0.0,True,True,PICKING,
107,3.567,True,1,286,170,645,923,527,475,379,568,True,True,,438,475,616,753,527,614,39.0,61.0,True,False,PICKED,PICKING -> PICKED
108,3.600,True,1,286,164,645,924,521,481,381,563,True,True,,432,481,610,759,521,620,43.3,56.7,True,True,PICKED,
109,3.633,True,1,287,157,647,925,517,487,386,551,True,True,,428,487,606,765,517,626,45.5,54.5,True,True,PICKED,
110,3.667,True,1,288,150,647,925,513,481,398,530,True,True,,424,481,602,759,513,620,47.8,52.2,True,True,PICKED,
111,3.700,True,1,290,144,648,925,505,482,403,521,True,False,0.2910,291,540,452,805,371,672,100.0,0.0,True,True,PICKED,
112,3.733,True,1,293,136,649,926,495,484,412,509,True,True,,415,484,575,749,495,616,58.8,41.2,True,True,PICKED,
113,3.767,True,1,297,128,652,926,493,478,419,499,True,True,,413,478,573,743,493,610,59.3,40.7,True,True,PICKED,
114,3.800,True,1,301,122,653,927,490,467,431,480,True,True,,410,467,570,732,490,599,58.6,41.4,True,True,PICKED,
115,3.833,True,1,304,115,653,927,482,463,446,466,True,True,,402,463,562,728,482,595,62.3,37.7,True,True,PICKED,
