frame,timestamp,num_persons_visible,backpack_id,backpack_state,event,backpack_confidence,backpack_from_memory,backpack_x1,backpack_y1,backpack_x2,backpack_y2,backpack_roi_overlap_pct,roi_value,wrist_inside_roi,backpack_inside_roi,owner_person_id
1,0.033,0,1,PLACED,,0.6708,False,405,618,563,815,100.0,0.0,False,True,
1,0.033,0,2,PLACED,,0.5202,False,254,640,392,806,100.0,0.0,False,True,
2,0.067,0,1,PLACED,,0.6815,False,405,619,563,815,100.0,0.0,False,True,
2,0.067,0,2,PLACED,,0.4899,False,254,640,392,806,100.0,0.0,False,True,
3,0.100,0,1,PLACED,,0.6758,False,406,619,563,815,100.0,0.0,False,True,
3,0.100,0,2,PLACED,,0.5006,False,254,640,392,807,100.0,0.0,False,True,
4,0.133,0,1,PLACED,,0.7003,False,405,620,563,816,100.0,0.0,False,True,
4,0.133,0,2,PLACED,,0.5253,False,255,640,394,807,100.0,0.0,False,True,
5,0.167,0,1,PLACED,,0.6965,False,405,620,563,816,100.0,0.0,False,True,
5,0.167,0,2,PLACED,,0.5225,False,256,640,395,808,100.0,0.0,False,True,
6,0.200,0,1,PLACED,,0.6745,False,405,620,563,816,100.0,0.0,False,True,
6,0.200,0,2,PLACED,,0.4722,False,256,640,395,808,100.0,0.0,False,True,
7,0.233,0,1,PLACED,,0.6708,False,404,620,563,817,100.0,0.0,False,True,
7,0.233,0,2,PLACED,,0.4461,False,257,641,396,808,100.0,0.0,False,True,
8,0.267,0,1,PLACED,,0.6766,False,404,620,563,817,100.0,0.0,False,True,
8,0.267,0,2,PLACED,,0.4568,False,257,641,396,809,100.0,0.0,False,True,
9,0.300,0,1,PLACED,,0.6769,False,404,620,563,817,100.0,0.0,False,True,
9,0.300,0,2,PLACED,,0.4500,False,258,641,396,809,100.0,0.0,False,True,
10,0.333,0,1,PLACED,,0.6682,False,404,620,563,817,100.0,0.0,False,True,
10,0.333,0,2,PLACED,,0.4492,False,258,641,396,809,100.0,0.0,False,True,
11,0.367,0,1,PLACED,,0.6649,False,404,620,562,817,100.0,0.0,False,True,
11,0.367,0,2,PLACED,,0.4577,False,258,641,396,809,100.0,0.0,False,True,
12,0.400,0,1,PLACED,,0.6585,False,404,620,563,817,100.0,0.0,False,True,
12,0.400,0,2,PLACED,,0.4425,False,258,641,396,809,100.0,0.0,False,True,
13,0.433,0,1,PLACED,,0.6691,False,404,620,563,817,100.0,0.0,False,True,
13,0.433,0,2,PLACED,,0.4494,False,258,641,395,810,100.0,0.0,False,True,
14,0.467,0,1,PLACED,,0.6447,False,404,621,563,817,100.0,0.0,False,True,
14,0.467,0,2,PLACED,,0.4305,False,258,641,395,810,100.0,0.0,False,True,
15,0.500,0,1,PLACED,,0.6449,False,404,621,562,818,100.0,0.0,False,True,
15,0.500,0,2,PLACED,,0.4265,False,258,641,395,810,100.0,0.0,False,True,
16,0.533,0,1,PLACED,,0.6612,False,404,621,562,818,100.0,0.0,False,True,
16,0.533,0,2,PLACED,,0.4187,False,258,641,395,810,100.0,0.0,False,True,
17,0.567,0,1,PLACED,,0.6585,False,404,621,562,818,100.0,0.0,False,True,
17,0.567,0,2,PLACED,,0.4300,False,258,642,395,810,100.0,0.0,False,True,
